ObjectId,lat,long,offence,location,year,month,date,dayofweek,MCI,Arrest
1842,43.6817736,-79.58862487,B&E,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2017,May,2017/05/23 04:00:00+00,Tuesday   ,Break and Enter,1
1843,43.73309317,-79.61160933,Robbery - Mugging,"Streets, Roads, Highways (Bicycle Path, Private Road)",2017,May,2017/05/24 04:00:00+00,Wednesday ,Robbery,1
1844,43.73677452,-79.59166379,Assault,"Streets, Roads, Highways (Bicycle Path, Private Road)",2017,May,2017/05/25 04:00:00+00,Thursday  ,Assault,1
1845,43.73677452,-79.59166379,Assault - Resist/ Prevent Seiz,"Streets, Roads, Highways (Bicycle Path, Private Road)",2017,May,2017/05/25 04:00:00+00,Thursday  ,Assault,1
1846,43.68081517,-79.59281296,Assault,Bar / Restaurant,2017,May,2017/05/20 04:00:00+00,Saturday  ,Assault,1
1847,43.73830142,-79.59932051,Robbery With Weapon,"Streets, Roads, Highways (Bicycle Path, Private Road)",2017,May,2017/05/25 04:00:00+00,Thursday  ,Robbery,1
1848,43.73409849,-79.60987366,Robbery With Weapon,Ttc Bus Stop / Shelter / Loop,2017,May,2017/05/26 04:00:00+00,Friday    ,Robbery,1
1849,43.69927247,-79.58696183,Assault,"Streets, Roads, Highways (Bicycle Path, Private Road)",2017,May,2017/05/26 04:00:00+00,Friday    ,Assault,1
1850,43.73677452,-79.59166379,Assault,Schools During Supervised Activity,2012,August,2012/08/01 04:00:00+00,Wednesday ,Assault,1
1851,43.73198248,-79.6151676,Robbery - Other,"Apartment (Rooming House, Condo)",2017,May,2017/05/27 04:00:00+00,Saturday  ,Robbery,1
1852,43.73699168,-79.59432018,Assault,"Single Home, House (Attach Garage, Cottage, Mobile)",2017,May,2017/05/28 04:00:00+00,Sunday    ,Assault,1
1853,43.74549552,-79.61423941,B&E,Bar / Restaurant,2017,May,2017/05/28 04:00:00+00,Sunday    ,Break and Enter,1
1854,43.71557013,-79.56849305,B&E W'Intent,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2017,May,2017/05/30 04:00:00+00,Tuesday   ,Break and Enter,1
1855,43.71366018,-79.55492829,Assault,"Parking Lots (Apt., Commercial Or Non-Commercial)",2017,May,2017/05/30 04:00:00+00,Tuesday   ,Assault,1
1856,43.73319325,-79.61945923,Robbery - Swarming,"Streets, Roads, Highways (Bicycle Path, Private Road)",2017,May,2017/05/31 04:00:00+00,Wednesday ,Robbery,1
1857,43.71170516,-79.56666332,Robbery - Atm,"Bank And Other Financial Institutions (Money Mart, Tsx)",2017,May,2017/05/31 04:00:00+00,Wednesday ,Robbery,1
1858,43.73377335,-79.59350023,Assault,"Apartment (Rooming House, Condo)",2017,May,2017/05/31 04:00:00+00,Wednesday ,Assault,1
1859,43.70107981,-79.59513798,Robbery With Weapon,"Streets, Roads, Highways (Bicycle Path, Private Road)",2017,June,2017/06/01 04:00:00+00,Thursday  ,Robbery,1
1860,43.73277619,-79.59491644,Robbery With Weapon,"Streets, Roads, Highways (Bicycle Path, Private Road)",2017,June,2017/06/02 04:00:00+00,Friday    ,Robbery,1
1861,43.68081517,-79.59281296,Assault,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2017,June,2017/06/02 04:00:00+00,Friday    ,Assault,1
1862,43.75230198,-79.59926221,Robbery - Business,Convenience Stores,2017,June,2017/06/03 04:00:00+00,Saturday  ,Robbery,1
1863,43.7336191,-79.6005249,Assault,"Single Home, House (Attach Garage, Cottage, Mobile)",2017,June,2017/06/03 04:00:00+00,Saturday  ,Assault,1
1864,43.74428237,-79.60751813,Assault,Bar / Restaurant,2017,June,2017/06/04 04:00:00+00,Sunday    ,Assault,1
1865,43.72126141,-79.61570712,Assault With Weapon,"Apartment (Rooming House, Condo)",2017,June,2017/06/04 04:00:00+00,Sunday    ,Assault,1
1866,43.72126141,-79.61570712,Assault,"Apartment (Rooming House, Condo)",2017,June,2017/06/04 04:00:00+00,Sunday    ,Assault,1
1867,43.73401277,-79.59033164,Robbery With Weapon,"Parking Lots (Apt., Commercial Or Non-Commercial)",2017,June,2017/06/05 04:00:00+00,Monday    ,Robbery,1
1868,43.69021298,-79.57702746,Theft Over,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2017,June,2017/06/03 04:00:00+00,Saturday  ,Theft Over,1
1869,43.71154887,-79.57133239,Assault With Weapon,"Parking Lots (Apt., Commercial Or Non-Commercial)",2017,June,2017/06/05 04:00:00+00,Monday    ,Assault,1
1870,43.73046982,-79.601404,Assault,Ttc Bus,2017,June,2017/06/07 04:00:00+00,Wednesday ,Assault,1
1871,43.71876169,-79.60459769,Assault,"Apartment (Rooming House, Condo)",2017,June,2017/06/07 04:00:00+00,Wednesday ,Assault,1
1872,43.73236392,-79.61821394,Assault,"Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)",2017,June,2017/06/06 04:00:00+00,Tuesday   ,Assault,1
1873,43.72365593,-79.61990455,Assault With Weapon,"Single Home, House (Attach Garage, Cottage, Mobile)",2017,June,2017/06/08 04:00:00+00,Thursday  ,Assault,1
1874,43.68794902,-79.58678411,Theft Over,Bar / Restaurant,2017,June,2017/06/10 04:00:00+00,Saturday  ,Theft Over,1
1875,43.70107981,-79.59513798,B&E,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2017,June,2017/06/09 04:00:00+00,Friday    ,Break and Enter,1
1876,43.73401277,-79.59033164,Assault,"Apartment (Rooming House, Condo)",2017,June,2017/06/10 04:00:00+00,Saturday  ,Assault,1
1877,43.71915789,-79.60342029,Assault,"Apartment (Rooming House, Condo)",2017,June,2017/06/10 04:00:00+00,Saturday  ,Assault,1
1878,43.74636673,-79.60026958,B&E,"Single Home, House (Attach Garage, Cottage, Mobile)",2017,June,2017/06/09 04:00:00+00,Friday    ,Break and Enter,1
1879,43.71366018,-79.55492829,Theft Over,"Streets, Roads, Highways (Bicycle Path, Private Road)",2017,June,2017/06/11 04:00:00+00,Sunday    ,Theft Over,1
